,0
0,S0101_C02_027E
1,S0101_C02_019E
2,S0101_C02_030E
3,S0101_C02_007E
4,S0101_C02_022E
5,S0101_C02_029E
6,S0101_C02_038E
7,S0101_C02_035E
8,S0101_C02_005E
9,S0101_C02_004E
10,S0101_C02_011E
11,S0101_C02_031E
12,S0101_C02_016E
13,S0101_C02_023E
14,S0101_C02_018E
15,S0101_C02_020E
16,S0101_C02_008E
17,S0101_C02_012E
18,S0101_C02_015E
19,S0101_C02_024E
20,S0101_C02_013E
21,S0101_C02_034E
22,S0101_C02_010E
23,S0101_C02_003E
24,S0101_C02_002E
25,S0101_C02_026E
26,S0101_C02_032E
27,S0101_C02_033E
28,S0101_C02_014E
29,S0101_C02_009E
30,S0101_C02_021E
31,S0101_C02_025E
32,S0101_C02_028E
33,S0101_C02_017E
34,S0101_C02_006E
35,S0101_C02_001E
36,S0101_C02_037E
37,S0101_C02_036E
38,S1251_C02_007E
39,S1251_C02_008E
40,S1251_C04_008E
41,S1251_C04_005E
42,S1251_C04_002E
43,S1251_C02_010E
44,S1251_C04_004E
45,S1251_C02_006E
46,S1251_C02_014E
47,S1251_C02_011E
48,S1251_C02_001E
49,S1251_C04_014E
50,S1251_C02_004E
51,S1251_C02_002E
52,S1251_C02_012E
53,S1251_C04_012E
54,S1251_C04_007E
55,S1251_C04_013E
56,S1251_C04_010E
57,S1251_C04_011E
58,S1251_C02_009E
59,S1251_C04_001E
60,S1251_C04_009E
61,S1251_C02_003E
62,S1251_C02_005E
63,S1251_C02_013E
64,S1251_C04_006E
65,S1251_C04_003E
66,S2603_C07_090E
67,S2603_C07_091E
68,S2603_C07_085E
69,S2603_C07_086E
70,S2603_C07_092E
71,S2603_C07_088E
72,S2603_C07_087E
73,S2603_C07_089E
